variable,description,
donor,Full official name of the funding organization (the lookup is matched on this or donor_short against the RFP's funder).,
donor_short,Short name / acronym used as the join key when the scanner matches a scanned RFP's funder to this matrix row.,
ngo_eligible,yes = non-profit / NGO entities may apply as the PRIME applicant. no = NGOs cannot lead (feeds PREFER 8 / eligibility).,
for_profit_eligible,yes = for-profit / commercial entities may apply as prime. (Informational; some donors are non-profit-only.),
local_registration_required,yes = the applicant must be legally registered in the country where the work happens.,
local_board_required,yes = applicant must have a locally-constituted Board of Directors in-country. HARD DISQUALIFIER when our org config org_has_local_board = no (your past disqualification: a branch with no local board).,
authorized_signatory_signoff_required,"yes = the submission must carry sign-off from an authorized organizational signatory (legal rep / Country Director) with evidence of authority. (Wellcome, GiveWell = yes; Gates = no.)",
govt_endorsement_letter_required,yes = a government endorsement / no-objection letter is a required part of the application package (and a feasibility dependency that can delay submission).,
tax_exempt_status_required,yes = proof of tax-exempt / charitable status (e.g. US 501(c)(3) or local equivalent) is required.,
sam_uei_registration_required,"yes = registration in SAM.gov plus a UEI is required (US federal grants). Registration has lead time, so this also affects MUST 5 timeline.",
prior_track_record_required,yes = demonstrated past performance / prior experience in the area is required to be eligible or competitive.,
partnership_mandatory,yes = the applicant MUST partner / form a consortium (cannot apply alone). Drives PREFER 8 = False. no = can apply alone or partner optionally → PREFER 8 True.,
local_partner_required,yes = a specific in-country / local partner is required (distinct from a general consortium).,
prefinance_required,none | partial | reimbursement_only. none = donor advances funds (best cash flow). partial = part advance. reimbursement_only = we must pre-finance and are reimbursed later. Feeds MUST 4: reimbursement_only -> Partial.,
cost_sharing_match_required,yes = the applicant must contribute co-financing / matching funds.,
audited_financials_required,yes = audited financial statements (typically last 1-3 years) must be submitted with the application.,
ethics_irb_approval_required,yes = ethics / Institutional Review Board approval is required (research-heavy opportunities). Tightens MUST 4 Compliant.,
concept_note_required,yes = a short first-stage concept note is required (often before an invited full proposal). See two_stage_application.,
full_technical_proposal_required,yes = a full technical / narrative proposal is required.,
detailed_budget_required,yes = a detailed line-item budget is required.,
budget_narrative_required,yes = a budget justification / narrative explaining each cost is required.,
logframe_results_framework_required,yes = a logical framework or results framework (objectives -> indicators -> targets) is required.,
theory_of_change_required,yes = a theory of change is required.,
workplan_timeline_required,yes = an implementation workplan / timeline (e.g. Gantt) is required.,
mande_plan_required,yes = a monitoring & evaluation (M&E) plan is required.,
cvs_key_personnel_required,yes = CVs / bios of key personnel are required.,
org_capacity_statement_required,yes = an organizational capacity / capability statement (track record + systems) is required.,
letters_of_support_required,yes = letters of support from stakeholders / beneficiaries / government are required.,
partner_mou_required,yes = signed MOUs or commitment letters from partners are required.,
registration_certificate_required,yes = a certificate of incorporation / legal registration document is required.,
bank_details_required,yes = bank account details or a bank information form are required.,
due_diligence_questionnaire_required,yes = the donor's pre-award due-diligence / organizational assessment questionnaire must be completed.,
safeguarding_policy_required,yes = a safeguarding policy (PSEA / child protection) must be provided.,
data_management_plan_required,yes = a data management / data protection plan is required.,
risk_management_plan_required,yes = a risk assessment / mitigation plan is required.,
sustainability_exit_plan_required,yes = a sustainability / exit / continuation plan is required.,
gender_inclusion_plan_required,yes = a gender equality & social inclusion (GESI) plan is required.,
environmental_safeguard_required,yes = environmental safeguards / assessment is required.,
procurement_plan_required,yes = a procurement plan is required.,
org_chart_staffing_required,yes = an organizational chart / staffing plan for the project is required.,
audit_report_required,"yes = a recent external audit report (e.g. US Single Audit / Uniform Guidance) is required. (Distinct from audited_financials_required, which is the statements themselves; merge if your donors treat them as one.)",
references_required,yes = professional references / referees are required.,
two_stage_application,yes = the process is two-stage (concept note first, then invited full proposal). Affects effort and timeline.
online_portal_submission,yes = submission is via an online portal (vs email / paper). Portal registration can add lead time.,
notes,"Free text: caveats, source links, verification notes, anything not captured by a column.",
