donor,donor_short,ngo_eligible,for_profit_eligible,local_registration_required,local_board_required,authorized_signatory_signoff_required,govt_endorsement_letter_required,tax_exempt_status_required,sam_uei_registration_required,prior_track_record_required,partnership_mandatory,local_partner_required,prefinance_required,cost_sharing_match_required,audited_financials_required,ethics_irb_approval_required,concept_note_required,full_technical_proposal_required,detailed_budget_required,budget_narrative_required,logframe_results_framework_required,theory_of_change_required,workplan_timeline_required,mande_plan_required,cvs_key_personnel_required,org_capacity_statement_required,letters_of_support_required,partner_mou_required,registration_certificate_required,bank_details_required,due_diligence_questionnaire_required,safeguarding_policy_required,data_management_plan_required,risk_management_plan_required,sustainability_exit_plan_required,gender_inclusion_plan_required,environmental_safeguard_required,procurement_plan_required,org_chart_staffing_required,audit_report_required,references_required,two_stage_application,online_portal_submission,notes
Health Resources and Services Administration,HRSA,yes,,,,,,,yes,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXAMPLE (verify): US federal; 501(c)(3) eligible; SAM/UEI required; cost-reimbursement
Bill & Melinda Gates Foundation,BMGF,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fill in
Wellcome Trust,Wellcome,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fill in
GiveWell,GiveWell,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fill in
Global Fund,GF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fill in,
Global Innovation Fund,GIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fill in,
National Institute for Health and Care Research,NIHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fill in,
USAID,USAID,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fill in
Spanish Agency for International Development Cooperation,AECID ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agence Française de Développement,AFD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Development Bank,AfDB ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Agency for Development Cooperation,AICS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aga Khan Foundation,AKF ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Federal Ministry for Economic Cooperation and Development,BMZ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomberg Philanthropies,BP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalition for Epidemic Preparedness Innovations,CEPI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Investment Fund Foundation,CIFF ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conrad N. Hilton Foundation,CNHF ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comic Relief,CR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan Zuckerberg Initiative,CZI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission (INTPA),EC ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU Civil Protection and Humanitarian Aid,DG ECHO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ELMA Philanthropies,ELMA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The END Fund,END Fund ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fondation Botnar,FB ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK Foreign, Commonwealth & Development Office",FCDO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Affairs Canada,GAC ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gavi, the Vaccine Alliance",Gavi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
