id,donor,donor_short,canonical_key,aliases,donor_category,website,ngo_eligible,for_profit_eligible,direct_local_org_eligible,govt_or_ccm_route_required,grant_route,procurement_tender_route,loan_dev_finance_route,subrecipient_partner_possible,open_call_unsolicited,invitation_solicited,two_stage_application,online_portal_submission,active_route_status,funding_scope_geographic,lmic_africa_focus,global_multi_country_scope,priority_program_areas,infectious_diseases_fit,hiv_aids_fit,tb_fit,malaria_fit,immunization_vaccines_fit,mnch_fit,srhr_family_planning_fit,nutrition_fit,ncds_fit,hss_fit,digital_health_data_ai_fit,education_fit,economic_development_fit,climate_environment_fit,agriculture_food_security_fit,governance_equity_rights_fit,local_registration_required,local_board_required,authorized_signatory_signoff_required,govt_endorsement_letter_required,tax_exempt_status_required,sam_uei_registration_required,prior_track_record_required,partnership_mandatory,local_partner_required,prefinance_required,cost_sharing_match_required,audited_financials_required,ethics_irb_approval_required,concept_note_required,full_technical_proposal_required,detailed_budget_required,budget_narrative_required,logframe_results_framework_required,theory_of_change_required,workplan_timeline_required,mande_plan_required,cvs_key_personnel_required,org_capacity_statement_required,letters_of_support_required,partner_mou_required,registration_certificate_required,bank_details_required,due_diligence_questionnaire_required,safeguarding_policy_required,data_management_plan_required,risk_management_plan_required,sustainability_exit_plan_required,gender_inclusion_plan_required,environmental_safeguard_required,procurement_plan_required,org_chart_staffing_required,audit_report_required,references_required,award_low_usd,award_high_usd,total_annual_funding_global,funding_mechanism,verification_level,verification_caveats,evidence_summary,notes,source_urls,updated_at,hq_address,hq_country,main_phone,general_email,contact_persons,contact_emails,contact_phones,donor_linkedin_url,contact_linkedin_urls,other_profile_urls,award_size_basis,online_source_check_status,last_checked,row_type,summary_description,mission,vision,donor_values,strategy_url,total_awards,total_funding_to_date,current_awards,past_awards,projected_budget,funding_cycle,recent_activity,application_process,reporting_requirements,past_projects_json,funded_geographies,projected_budget_period,founded,parent_organization,strategic_priorities,in_scope,out_of_scope,selection_criteria,funding_programs,funding_tiers_json,eligibility_notes,application_deadlines,submission_portal_url,strategic_fit_notes,gaps_risks,recommended_approach,program_area_ratings,funders_collaborators,independent_entity_required,welcome_registration_required,hq_country_required,org_stage_required,max_annual_budget_usd,min_track_record_usd,required_partner_type,required_partner_country,max_request_pct_of_budget,min_cofinancing_secured_pct,donor_type,is_dual_role_implementer,opportunity_listing_urls
11,African Development Bank (AfDB),AfDB,african development bank,AfDB; African Development Bank (AfDB); Banque africaine de developpement,Multilaterals & development banks,https://www.afdb.org,no,yes,Unknown,yes,yes,yes,yes,,,,,,Active,"[""Sub-Saharan Africa"",""Africa""]",yes,,"[""Digital Health (+AI)"",""Market Shaping"",""Health Financing"",""MNCH"",""Vaccines"",""Trade & Markets"",""Food Security & Resilience"",""Climate Adaptation & Resilience"",""MSME & Entrepreneurship""]",,,,,,yes,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$3-5B/year (health & social),"[""Grants"",""Loans / concessional finance"",""Procurement / contracts"",""Co-financing"",""Technical assistance""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Government and private-sector development finance for African countries: infrastructure, economic growth, and selected health investments.",Eligibility higher where aligned with {country}'s national strategies and co-financing; finances local medicine/vaccine manufacturing and supply-chain infrastructure.,https://www.afdb.org/en/projects-and-operations; https://www.afdb.org; https://www.afdb.org/en/projects-and-operations/procurement,2026-06-24T00:00:00+01:00,,Cote d'Ivoire,,,,,,,,,,,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Competitive tender / RFP,Unknown,[],,,1964,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""Market Shaping"":4,""Health Financing"":5,""MNCH"":4,""Vaccines"":4,""Food Security & Resilience"":5,""MSME & Entrepreneurship"":4,""Trade & Markets"":5,""Climate Adaptation & Resilience"":5}",,,,,,,,,,,,Multilateral / Development Bank / Global Health Partnership,no,https://www.afdb.org/en/projects-and-operations/procurement
73,African Women’s Development Fund (AWDF),AWDF,african women's development fund,African Women's Development Fund (AWDF); African Women’s Development Fund (AWDF),International philanthropies & foundations,https://awdf.org,yes,,Yes — direct,,yes,,,yes,yes,,,yes,Active,"[""Sub-Saharan Africa"",""Africa""]",yes,,"[""Digital Health (+AI)"",""Climate Adaptation & Resilience"",""Gender Equality & GBV"",""Democracy & Civic Participation"",""MNCH"",""SRH"",""Human Rights & Justice"",""Financial Inclusion"",""MSME & Entrepreneurship"",""Pandemic Response""]",yes,,,,,yes,yes,,,,yes,,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1K,$50K,$5 -$10M+,"[""Grants""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: Family Planning & Reproductive Health. Maternal, Neonatal & Child Health. Infectious Diseases. Yes- Infectious Diseases, MNCH.","Strong potential partner for community-led gender & health projects. Pan-African feminist grantmaker based in Accra, Ghana. $26.2M granted to 1,200+ orgs in 42 countries. Grants $1K-$50K (up to $120K multi-year). Focuses on women's rights, SRHR, GBV, economic empowerment. Small grants, best for community-level women's health orgs. Not suitable for large-scale the NGO programs.",http://www.awdf.org; https://awdf.org/apply-for-a-grant/,2026-06-24T00:00:00+01:00,,Ghana,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Unsolicited proposals accepted,Unknown,[],,,,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""Climate Adaptation & Resilience"":4,""Gender Equality & GBV"":5,""Democracy & Civic Participation"":4,""MNCH"":4,""SRH"":5,""Financial Inclusion"":5,""MSME & Entrepreneurship"":4,""Human Rights & Justice"":5,""Pandemic Response"":4}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://awdf.org/apply-for-a-grant/
13,Aga Khan Foundation,AKF,aga khan foundation,Aga Khan Foundation,International philanthropies & foundations,https://the.akdn/en/how-we-work/our-agencies/aga-khan-foundation,no,no,Yes — via competitive RFP / invited proposal,no,yes,no,no,no,no,no,no,no,Unknown,"[""Africa"",""Asia"",""Middle East""]",no,no,"[""Basic Education"",""Safe Water"",""MNCH"",""MSME & Entrepreneurship""]",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,"[""Grants"",""Technical assistance""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Official website and opportunity/policy page identified; field-level eligibility remains call-specific unless captured from a binding call package.,,https://the.akdn/en/how-we-work/our-agencies/aga-khan-foundation,2026-06-24T00:00:00+01:00,,Switzerland,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,,,,,,,,,,,Unknown,,Unknown,Unknown,[],,,1967,,,,,,,[],,,,,,,"{""MSME & Entrepreneurship"":5,""Basic Education"":5,""Safe Water"":5,""MNCH"":5}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,yes,
10,Agence Française de Développement (AFD),AFD,agence française de développement,Agence Française de Développement; Agence Francaise de Development; Agence Française de Développement (AFD); French Development Agency (AFD),Bilaterals / government development agencies,https://www.afd.fr/en,yes,yes,Unknown,yes,yes,yes,yes,yes,,,,,Active,"[""Africa"",""Global South"",""LMICs""]",,,"[""Digital Health (+AI)"",""Health Financing"",""MNCH"",""Climate Adaptation & Resilience"",""Basic Education"",""Safe Water""]",,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$20M–$40M,"[""Grants"",""Loans / concessional finance"",""Procurement / contracts"",""Technical assistance""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Publicly mapped priorities in uploaded donor intelligence include: Health system strengthening. Maternal and child health. Health systems strengthening (HSS). Yes - HSS.,Grants are allocated to a limited number of countries following a decision by the Interministerial Committee for International Cooperation and Development.,https://www.afd.fr/en/grants-stand-alone-tool-or-complement-loans; https://www.afd.fr/en; https://www.afd.fr/en/calls-proposals,2026-06-24T00:00:00+01:00,,France,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Competitive tender / RFP,Unknown,[],,,1941,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""Health Financing"":5,""MNCH"":4,""Basic Education"":5,""Climate Adaptation & Resilience"":5,""Safe Water"":5}",,,,,,,,,,,,Institutional Donor / Government Development Agency,no,https://www.afd.fr/en/grants-stand-alone-tool-or-complement-loans|https://www.afd.fr/en/calls-proposals
104,Aliko Dangote Foundation,,aliko dangote foundation,Aliko Dangote Foundation,International philanthropies & foundations,https://www.dangotefoundation.org,no,no,Yes — via competitive RFP / invited proposal,no,yes,no,no,no,no,no,no,no,Unknown,"[""Africa""]",no,no,"[""Basic Education"",""Climate Adaptation & Resilience"",""Nutrition"",""MNCH"",""Emergency Response"",""Social Protection"",""MSME & Entrepreneurship""]",no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,"[""Grants"",""In-kind / commodities""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Publicly mapped priorities in uploaded donor intelligence include: Health. Education. Economic empowerment.,,https://alikodangotefoundation.bukihq.com/; https://www.dangotefoundation.org,2026-06-24T00:00:00+01:00,"270a Ozumba Mbadiwe Ave, Victoria Island, Lagos 106104, Lagos, Nigeria",Nigeria,+234 1 448 0815,communications@dangote.com,,,,,,https://dangote.com/,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_source_cross_checked,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,By invitation only,Unknown,[],,,2006,,,,,,,[],,,,,,,"{""Basic Education"":4,""Climate Adaptation & Resilience"":4,""MSME & Entrepreneurship"":4,""Social Protection"":5,""Emergency Response"":5,""MNCH"":5,""Nutrition"":5}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,
96,AmplifyChange,,amplifychange,AmplifyChange,International philanthropies & foundations,https://amplifychange.org,yes,,Yes — direct,,yes,,,,yes,,,yes,Active,"[""Sub-Saharan Africa"",""LMICs"",""Africa"",""Asia"",""Middle East""]",yes,,"[""SRH"",""Digital Health (+AI)"",""Gender Equality & GBV"",""Youth Empowerment"",""Democracy & Civic Participation"",""Health Financing"",""Malaria & NTDs"",""MNCH"",""Human Rights & Justice"",""Pandemic Response""]",yes,,,yes,,yes,yes,,,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1.00M,$5.00M,£15M (2024); £96M since inception across 64 countries,"[""Grants""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: Family Planning & Reproductive Health. Maternal, Neonatal & Child Health. Yes - SRHR advocacy (Sub-Saharan Africa eligible).","Funds SRHR advocacy only (not service delivery). Targets small/grassroots CSOs. Major funder of SRHR advocacy and community-driven initiatives. Strong focus on youth, gender equity, and rights. Upcoming open call expected in 2026.",https://amplifychange.org/apply; https://amplifychange.org/grant-type/opportunity-grant; https://amplifychange.org,2026-06-24T00:00:00+01:00,,United Kingdom,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,Unsolicited proposals accepted,Unknown,[],,,,,,,,,,[],,,,,,,"{""SRH"":5,""Digital Health (+AI)"":4,""Gender Equality & GBV"":5,""Youth Empowerment"":4,""Democracy & Civic Participation"":4,""Health Financing"":4,""Malaria & NTDs"":4,""MNCH"":4,""Human Rights & Justice"":5,""Pandemic Response"":4}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://amplifychange.org/apply|https://amplifychange.org/grant-type/opportunity-grant
97,Barr Foundation,,barr foundation,Barr Foundation,International philanthropies & foundations,https://www.barrfoundation.org/,yes,,Yes — via competitive RFP / invited proposal,,yes,,,yes,no,yes,,,Active,"[""United States""]",,,"[""Basic Education"",""Climate Adaptation & Resilience""]",,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$100M+ annually,"[""Grants""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Publicly mapped priorities in uploaded donor intelligence include: No - Primarily Boston/Massachusetts-focused.,"Focus on climate, education, arts in Greater Boston. No international health.",https://www.barrfoundation.org; https://www.barrfoundation.org/grantmaking/grants-database; https://www.barrfoundation.org/grantmaking/apply,2026-06-24T00:00:00+01:00,,United States,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Ad hoc / by announcement,,By invitation only,Unknown,[],,,,,,,,,,[],,,,,,,"{""Basic Education"":5,""Climate Adaptation & Resilience"":5}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://www.barrfoundation.org/grantmaking/grants-database|https://www.barrfoundation.org/grantmaking/apply
66,Big Bang Philanthropy,,big bang philanthropy,Big Bang Philanthropy,International philanthropies & foundations,https://www.mulagofoundation.org/,yes,,Yes — direct,,yes,,,,,,,,Unknown,"[""Global""]",yes,yes,"[""Health Financing"",""MNCH"",""MSME & Entrepreneurship"",""Pandemic Response""]",yes,,,,,yes,,,,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network of ~15 foundations (collective $50M+ est.),"[""Grants""]",medium,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Publicly mapped priorities in uploaded donor intelligence include: Infectious Diseases. Maternal, Neonatal & Child Health (MNCH). Health systems strengthening (HSS). Yes - Global poverty in developing countries.","Collaborative network: Mulago, Pershing Square, Segal Family, DRK. Share due diligence, co-fund. Focus on scalable anti-poverty solutions.",https://www.mulagofoundation.org; https://www.bigbangphilanthropy.org,2026-06-24T00:00:00+01:00,,,,,,,,,,,Computed from USD-denominated funding ranges in uploaded Master Funding Matrix. Not a definitive award-history statistic; verify against each donor grant database/CFP.,official_or_institutional_sources_only,2026-06-24,donor_or_funder,,,,,,,,,,,Unknown,,Unknown,Unknown,[],,,,,,,,,,[],,,,,,,"{""Health Financing"":4,""MNCH"":4,""MSME & Entrepreneurship"":4,""Pandemic Response"":4}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,
213,Bill & Melinda Gates Foundation,BMGF,bill melinda gates foundation,Gates Foundation; BMGF; Bill and Melinda Gates Foundation,International philanthropies & foundations,https://www.gatesfoundation.org,yes,yes,Yes — via competitive RFP / invited proposal,no,yes,no,no,yes,no,yes,no,yes,Active,"[""Global / worldwide"",""Africa"",""Northern Africa"",""Sub-Saharan Africa"",""Eastern Africa"",""Middle Africa"",""Southern Africa"",""Western Africa"",""Americas"",""Latin America and the Caribbean"",""Caribbean"",""Central America"",""South America"",""Northern America"",""Asia"",""Central Asia"",""Eastern Asia"",""South-eastern Asia"",""Southern Asia"",""Western Asia"",""Europe"",""Eastern Europe"",""Northern Europe"",""Southern Europe"",""Western Europe"",""Oceania"",""Australia and New Zealand"",""Melanesia"",""Micronesia"",""Polynesia"",""Global South"",""Low- and middle-income countries (LMICs)"",""Low-income countries"",""Lower-middle-income countries"",""Upper-middle-income countries"",""Least Developed Countries (LDCs)"",""Fragile & conflict-affected states"",""Small Island Developing States (SIDS)"",""Afghanistan"",""Albania"",""Algeria"",""Andorra"",""Angola"",""Antigua and Barbuda"",""Argentina"",""Armenia"",""Australia"",""Austria"",""Azerbaijan"",""Bahamas"",""Bahrain"",""Bangladesh"",""Barbados"",""Belgium"",""Belize"",""Benin"",""Bhutan"",""Bolivia"",""Bosnia and Herzegovina"",""Botswana"",""Brazil"",""Brunei"",""Bulgaria"",""Burkina Faso"",""Burundi"",""Cabo Verde"",""Cambodia"",""Cameroon"",""Canada"",""Central African Republic"",""Chad"",""Chile"",""China"",""Colombia"",""Comoros"",""Congo (Brazzaville)"",""Congo (DRC)"",""Costa Rica"",""Côte d'Ivoire"",""Croatia"",""Cuba"",""Cyprus"",""Czechia"",""Denmark"",""Djibouti"",""Dominica"",""Dominican Republic"",""Ecuador"",""Egypt"",""El Salvador"",""Equatorial Guinea"",""Eritrea"",""Estonia"",""Eswatini"",""Ethiopia"",""Fiji"",""Finland"",""France"",""Gabon"",""Gambia"",""Georgia"",""Germany"",""Ghana"",""Greece"",""Grenada"",""Guatemala"",""Guinea"",""Guinea-Bissau"",""Guyana"",""Haiti"",""Honduras"",""Hungary"",""Iceland"",""India"",""Indonesia"",""Iran"",""Iraq"",""Ireland"",""Israel"",""Italy"",""Jamaica"",""Japan"",""Jordan"",""Kazakhstan"",""Kenya"",""Kiribati"",""Kosovo"",""Kuwait"",""Kyrgyzstan"",""Laos"",""Latvia"",""Lebanon"",""Lesotho"",""Liberia"",""Libya"",""Liechtenstein"",""Lithuania"",""Luxembourg"",""Madagascar"",""Malawi"",""Malaysia"",""Maldives"",""Mali"",""Malta"",""Marshall Islands"",""Mauritania"",""Mauritius"",""Mexico"",""Moldova"",""Monaco"",""Mongolia"",""Montenegro"",""Morocco"",""Mozambique"",""Myanmar"",""Namibia"",""Nauru"",""Nepal"",""Netherlands"",""New Zealand"",""Nicaragua"",""Niger"",""Nigeria"",""North Macedonia"",""Norway"",""Oman"",""Pakistan"",""Palau"",""Palestine"",""Panama"",""Papua New Guinea"",""Paraguay"",""Peru"",""Philippines"",""Poland"",""Portugal"",""Qatar"",""Romania"",""Rwanda"",""Saint Kitts and Nevis"",""Saint Lucia"",""Saint Vincent and the Grenadines"",""Samoa"",""San Marino"",""Sao Tome and Principe"",""Saudi Arabia"",""Senegal"",""Serbia"",""Seychelles"",""Sierra Leone"",""Singapore"",""Slovakia"",""Slovenia"",""Solomon Islands"",""Somalia"",""South Africa"",""South Korea"",""South Sudan"",""Spain"",""Sri Lanka"",""Sudan"",""Suriname"",""Sweden"",""Switzerland"",""Taiwan"",""Tajikistan"",""Tanzania"",""Thailand"",""Timor-Leste"",""Togo"",""Tonga"",""Trinidad and Tobago"",""Tunisia"",""Türkiye"",""Turkmenistan"",""Tuvalu"",""Uganda"",""United Arab Emirates"",""United Kingdom"",""United States"",""Uruguay"",""Uzbekistan"",""Vanuatu"",""Venezuela"",""Vietnam"",""Yemen"",""Zambia"",""Zimbabwe"",""Ukraine"",""Global"",""LMICs""]",yes,yes,"[""Vaccines"",""SRH"",""Nutrition"",""MNCH"",""Mental Health"",""Diabetes"",""Cardiovascular Diseases"",""Cancer"",""Tuberculosis"",""Pandemic Response"",""Malaria & NTDs"",""HIV/AIDS"",""Hepatitis"",""Antimicrobial Resistance (AMR)"",""Health Workforce"",""Health Financing"",""Digital Health (+AI)"",""Diagnostics"",""Climate & Health"",""Assistive Technology"",""Research"",""Safe Water"",""Sanitation"",""Hygiene"",""Climate Adaptation & Resilience"",""Clean & Renewable Energy"",""Biodiversity & Conservation"",""Pollution & Waste"",""Smallholder Productivity"",""Basic Education""]",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,no,no,no,no,no,no,no,reimbursement_only,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,$0.150M,$100.00M,~$8B/year,"[""Grants"",""Procurement / contracts"",""Program-related investments (equity/debt)"",""Technical assistance"",""Prizes / challenges""]",high,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,Largest private global-health funder; competitive RFPs and invited proposals across LMICs.,"Strong fit for digital health, diagnostics, and immunization where aligned with {country}'s national health priorities.",https://www.gatesfoundation.org/about/how-we-work/grant-opportunities; https://www.gatesfoundation.org; https://submit.gatesfoundation.org/; https://www.gatesfoundation.org/about/how-we-work/grant-applicant-faq,2026-06-24T00:00:00+01:00,,United States,,,,,,,,,indicative; varies by initiative,,2026-06-24,donor_or_funder,"The Bill & Melinda Gates Foundation's mission is to create a world where every person has the opportunity to live a healthy, productive life. It works to reduce extreme poverty, enhance global healthcare, and expand educational and technological opportunities for vulnerable populations.","Gates Foundation's mission is to create a world where every person has the opportunity to live a healthy, productive life. It works to reduce extreme poverty, enhance global healthcare, and expand educational and technological opportunities for vulnerable populations.",,"We are a community of passionate optimists who see daunting challenges like disease and hunger and gender inequality and are ready to roll up our sleeves and look for ways to solve them. We are collaborators by nature who love working with colleagues who come from nearly 80 countries, each with their unique life experiences and cultural background.",https://www.gatesfoundation.org/ideas/articles/2026-gates-foundation-annual-letter,36000,$100 billion,2506,33500,$200 billion,Ad hoc / by announcement,2026,By invitation only,Narrative + financial reports,[],,2045,2000,no,,"The Gates Foundation funds organisations and partnerships that can deliver measurable impact against poverty, disease, and inequity, mainly through grants and strategic investments. Its core scope includes global health, global development, gender equality, nutrition, vaccines, infectious diseases, maternal and child health, agriculture, sanitation, financial inclusion, policy/advocacy, and U.S.-focused education and economic mobility work. It primarily funds organisations, not individuals, and most grants are either directly invited by foundation staff or issued through formal RFPs and Grand Challenges calls.","The foundation does not make grants outside its stated funding priorities, does not generally accept unsolicited proposals, and says it is unable to make grants directly to individuals. Requests that are not aligned with one of its programme strategies, personal financial assistance, generic charity requests, and proposals submitted outside invited/RFP processes are therefore out of scope. The foundation also does not publish a fixed “excluded countries” list, but as a U.S.-based foundation it would not fund or invest where transactions are prohibited by applicable U.S. sanctions, anti-terrorism, or export-control rules; this means country or regional restrictions should be checked against the current OFAC sanctions programmes before pursuing any opportunity.",,,[],,,,,,,"{""Vaccines"":5,""SRH"":5,""Nutrition"":5,""MNCH"":5,""Mental Health"":3,""Diabetes"":4,""Cardiovascular Diseases"":5,""Cancer"":3,""Tuberculosis"":5,""Pandemic Response"":3,""Malaria & NTDs"":5,""HIV/AIDS"":5,""Hepatitis"":3,""Antimicrobial Resistance (AMR)"":3,""Health Workforce"":3,""Health Financing"":4,""Digital Health (+AI)"":5,""Diagnostics"":3,""Climate & Health"":5,""Assistive Technology"":5,""Research"":5,""Safe Water"":3,""Sanitation"":3,""Hygiene"":3,""Climate Adaptation & Resilience"":3,""Clean & Renewable Energy"":3,""Biodiversity & Conservation"":3,""Pollution & Waste"":3,""Smallholder Productivity"":5,""Basic Education"":4}",[],,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://www.gatesfoundation.org/about/how-we-work/grant-opportunities|https://submit.gatesfoundation.org/|https://gcgh.grandchallenges.org/grant-opportunities
223,Biswas Family Foundation,Biswas / Fast Grants,biswas_family_foundation,Fast Grants; Biswas Foundation,International philanthropies & foundations,https://www.biswasfamilyfoundation.org,yes,no,Yes — via international partner only,,yes,,,,yes,,,yes,Active,"[""Global / worldwide"",""Global""]",,,"[""Digital Health (+AI)"",""Research"",""Higher Education & TVET"",""Pandemic Response""]",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000","$100,000",Up to $3M / year,"[""Grants""]",high,Eligibility requirements vary by call/RFP; use the opportunity package as binding source before application.,"Verified from the official Fast Grants page on 2026-06-13: OPEN program; $25K / $50K / $100K tiers; 12-month projects; indirect costs <=15%; worldwide-eligible institutions (US 501(c)(3) / university / nonprofit research institute, OR a foreign equivalent with an equivalency determination or a US-based 501(c)(3) fiscal sponsor). For-profit companies and individual researchers are NOT eligible. Apply via Airtable.",,https://www.biswasfamilyfoundation.org/science/fast-grants; https://www.developmentaid.org/grants/view/1663997; https://www.biswasfamilyfoundation.org,2026-06-24T00:00:00+01:00,,United States,,,,,,,,,,,2026-06-24,donor_or_funder,"The Biswas Family Foundation's Fast Grants program gives lightweight, fast-turnaround grants to early-career or pivoting researchers exploring ideas at the intersection of AI and health — model training/evaluation on biomedical data, dataset assembly, AI tools for scientists, and pilot experiments that de-risk larger funding. Up to ~$3M deployed annually across two cycles; decisions on the written application only (no interview).",,,,,,,,,Up to $3M / year,Ad hoc / by announcement,"2026 cycles — deadlines Jun 15 & Dec 15, 2026",Online portal submission,Milestone / deliverable-based,[],,2026 (two cycles),,,,,,,,[],,,,,,,"{""Digital Health (+AI)"":4,""Research"":5,""Higher Education & TVET"":4,""Pandemic Response"":5}",,,,,,,,,,,,Private Foundation & Philanthropic Organization,no,https://www.biswasfamilyfoundation.org/science/fast-grants|https://www.developmentaid.org/grants/view/1663997
